,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"[0, 1, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 0, 0, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 1, 0, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, -1]",0.0,0.0,-1000000.0,0.0,-1.35,0.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 1, 0, -1, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0]",0.0,0.0,0.0,-2.45,16.40677340387771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0]",0.0,0.0,0.0,0.0,0.0,-4.3,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,0.0,0.0,0.0
"[0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 1, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.85,0.0,0.0,0.0,-1000000.0,0.0,0.0,0.0
"[0, 0, 1, 0, 1, -1, 0, 0, -1, 0, 0, 0, -1, 1, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 1, 0, 1, -1, 0, 0, -1, 0, 0, 0, -1, 1, 1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,0.0,0.0,0.0,0.0
